thread,time
1,0.93
1,0.93
1,0.93
1,0.93
1,0.93
2,1.18
2,1.18
2,1.18
2,1.18
2,1.19
3,6.34
3,5.26
3,5.71
3,6.21
3,4.73
4,5.21
4,5.02
4,5.66
4,5.99
4,5.73
5,3.93
5,3.89
5,3.90
5,3.89
5,3.86
6,3.88
6,3.92
6,3.95
6,3.91
6,3.88
7,4.05
7,4.10
7,4.16
7,4.21
7,3.85
8,4.06
8,3.96
8,4.14
8,4.13
8,4.12
