thread,time
1,0.05
1,0.05
1,0.05
1,0.05
1,0.05
2,0.20
2,0.20
2,0.20
2,0.20
2,0.20
3,0.43
3,0.39
3,0.39
3,0.41
3,0.40
4,0.66
4,0.64
4,0.64
4,0.64
4,0.64
5,0.92
5,0.92
5,0.92
5,0.93
5,0.93
6,1.05
6,1.15
6,1.03
6,1.13
6,0.99
7,1.30
7,1.48
7,1.33
7,1.41
7,1.50
8,1.79
8,1.29
8,1.75
8,1.56
8,1.43
