thread,time
1,0.09
1,0.09
1,0.09
1,0.09
1,0.09
2,0.34
2,0.40
2,0.39
2,0.37
2,0.56
3,1.38
3,1.25
3,1.25
3,1.05
3,1.29
4,1.03
4,1.29
4,1.98
4,1.07
4,1.31
5,0.97
5,1.06
5,1.38
5,1.26
5,1.24
6,1.03
6,1.03
6,1.13
6,1.27
6,0.97
7,0.73
7,0.88
7,1.10
7,0.86
7,0.98
8,1.20
8,1.08
8,0.96
8,0.99
8,1.13
