thread,time
1,0.27
1,0.26
1,0.26
1,0.26
1,0.26
2,0.93
2,1.15
2,1.03
2,0.97
2,0.52
3,1.52
3,1.10
3,1.27
3,1.47
3,1.49
4,4.43
4,4.79
4,4.75
4,3.94
4,3.77
5,5.48
5,5.78
5,5.28
5,5.55
5,5.79
6,6.55
6,6.90
6,6.36
6,6.75
6,7.19
7,7.77
7,8.27
7,7.78
7,7.81
7,7.64
8,9.31
8,9.33
8,9.18
8,9.27
8,9.09
