thread,time
1,0.05
1,0.05
1,0.05
1,0.05
1,0.05
2,0.20
2,0.20
2,0.20
2,0.20
2,0.20
3,0.41
3,0.41
3,0.42
3,0.38
3,0.41
4,0.68
4,0.65
4,0.74
4,0.64
4,0.65
5,0.89
5,0.96
5,0.90
5,0.89
5,0.91
6,1.09
6,1.12
6,1.14
6,1.15
6,1.16
7,1.43
7,1.13
7,1.35
7,1.42
7,1.48
8,1.69
8,1.74
8,1.83
8,1.38
8,1.38
