thread,time
1,0.07
1,0.09
1,0.07
1,0.08
1,0.07
2,0.79
2,0.76
2,0.74
2,0.67
2,0.64
3,1.14
3,1.42
3,0.80
3,1.41
3,1.42
4,1.53
4,2.12
4,2.16
4,2.07
4,1.71
5,2.68
5,2.88
5,3.01
5,3.14
5,2.99
6,2.73
6,3.91
6,3.71
6,2.38
6,4.19
7,2.44
7,2.91
7,3.01
7,5.23
7,5.01
8,6.64
8,3.41
8,5.93
8,7.40
8,6.39
