thread,time
1,5.82
1,5.61
1,5.66
1,4.01
1,4.45
2,4.13
2,5.09
2,2.38
2,4.67
2,4.60
3,5.11
3,2.14
3,3.36
3,4.42
3,3.70
4,2.66
4,3.93
4,4.38
4,3.94
4,3.70
5,3.19
5,4.90
5,4.89
5,4.94
5,4.36
6,4.54
6,4.25
6,3.47
6,4.67
6,3.94
7,3.73
7,3.90
7,4.66
7,4.37
7,3.33
8,3.74
8,3.73
8,4.54
8,4.75
8,4.08
