thread,time
1,0.12
1,0.12
1,0.11
1,0.11
1,0.12
2,0.13
2,0.11
2,0.12
2,0.13
2,0.13
3,0.13
3,0.13
3,0.14
3,0.15
3,0.12
4,0.14
4,0.15
4,0.17
4,0.13
4,0.14
5,0.16
5,0.20
5,0.14
5,0.16
5,0.14
6,0.14
6,0.14
6,0.14
6,0.18
6,0.18
7,0.14
7,0.23
7,0.20
7,0.19
7,0.17
8,0.19
8,0.14
8,0.23
8,0.19
8,0.21
