thread,time
1,0.93
1,0.93
1,0.93
1,0.93
1,0.93
2,1.17
2,1.17
2,1.18
2,1.18
2,1.17
3,5.42
3,6.18
3,6.21
3,6.07
3,6.25
4,6.21
4,6.31
4,5.10
4,6.37
4,6.37
5,3.90
5,3.90
5,3.87
5,3.92
5,3.90
6,3.94
6,3.87
6,3.94
6,3.91
6,3.90
7,4.13
7,4.11
7,4.12
7,4.05
7,4.10
8,4.12
8,4.03
8,3.91
8,3.81
8,4.14
